Title,Link,Channel Name,Channel Link,Subscriber Count,Category,Views,Likes,DislikesDrDisrespect shows why he is the SNIPER GOD in ANY GAME,https://www.youtube.com/watch?v=gF7TSlGv6no&fbclid=IwAR3u-MSia_FTkm1D9hZuQ4w1gxOApAHC08gRv7XFtsfNZ0Z-q-3KiVTmuhk,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"15,824","1,963",27
Coronavirus: Americans from quarantined cruise ship flown from Japan - BBC News,https://www.youtube.com/watch?v=lJx5Tm8Jdy8,BBC News,www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,6.29M,None,"182,468","1,807",131
"He's known Bill Barr for 40 years. Now, he's calling for his resignation",https://www.youtube.com/watch?v=EEQhanL6Qwg,CNN,www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,8.57M,None,"393,241","5,450",563
Taylor Swift - The Man (Lyric Video),https://www.youtube.com/watch?v=tbEekLA7J3Y,Taylor Swift,www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,37.1M,None,"5,928,964","410,397","8,670"
Taylor Swift - Live at the 2019 American Music Awards,https://www.youtube.com/watch?v=SVY8I46dkb0,Taylor Swift,www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,37.1M,None,"26,835,729","1,010,705","21,306"
Ellen the Homework Helperer,https://www.youtube.com/watch?v=CS7dD9mv4Ws,TheEllenShow,www.youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ,36.5M,None,"5,897,628","89,242","1,552"
Taylor Swift's EX-BOYFRIENDS Talking About Her,https://www.youtube.com/watch?v=g7Y7Ly_hnZ0,Pop Corn,www.youtube.com/channel/UCKTZ2MmK0_9hZVBhiuVp_xw,181,None,"121,783","1,264",97
【1080p】2020 - QUEEN+Adam Lambert - Fire Fight Concert - Australia,https://www.youtube.com/watch?v=ijntCN1BVlI,TOH_ DAI,www.youtube.com/channel/UC1JOgmMMLgkVVrDRLBUX8ng,4.3K,None,"257,632","5,408",142
Penelope: Man and Wife - SNL,https://www.youtube.com/watch?v=9gGvvdGWMKA,Saturday Night Live,www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,9.79M,None,"4,233,395","44,813","1,168"
7 Actors Who Are Surprisingly Good Singers | ⭐ OSSA Lists,https://www.youtube.com/watch?v=NTKlkOKr7CU,OSSA,www.youtube.com/channel/UCQfKpN66UN8d5Z15gFV9PGQ,457K,None,"417,186","6,552",846
Lady Gaga's FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL,https://www.youtube.com/watch?v=txXwg712zw4,NFL,www.youtube.com/channel/UCDVYQ4Zhbm3S2dlz7P1GBDg,6.35M,None,"64,969,818","776,932","45,776"
The Greatest Showman - This Is Me [Official Lyric Video],https://www.youtube.com/watch?v=Rj4Yu9Utdw0,20th Century Studios Indonesia,www.youtube.com/channel/UC4UGyeC2JFnrAL6AQH_E4sw,78.1K,None,"21,286,196","188,774","4,050"
"Taylor Swift | House Tour 2019 | New York City, LA, Nashville & Rhode Island Mega Mansions",https://www.youtube.com/watch?v=kpfI4gfyc8c,Famous Entertainment,www.youtube.com/channel/UCkrKgPRTzgfFE6NLWvx3vUQ,110K,None,"269,839","5,813",297
